conselho ;conselheiro;setor;posicao
Saúde;Abdu Neme Jorge Makhluf Neto ;Poder Público;Titular
Saúde;Sávio Sabóia da Fonseca;Poder Público;Suplente
Saúde;José Felipe Quintanilha França;Poder Público;Titular
Saúde;Ralph Ferreira de Noronha Oliveira;Poder Público;Suplente
Saúde;Cíntia Ferrini Farias;Poder Público;Titular
Saúde;Fernanda Gomes de Vasconcellos Sales;Poder Público;Suplente
Saúde;Elisa Lima mayerhoffer Peralva;Poder Público;Titular
Saúde;José Carlos Henrique Alves ;Poder Público;Suplente
Saúde;Valéria Corrêa Lopes;Poder Público;Titular
Saúde;Jarbas da Fonseca Carneiro Júnior;Poder Público;Suplente
Saúde;Geraldo Augusto Pinto Venâncio;Prestadores de Serviços na Área de Saúde;Titular
Saúde;Flávio Persilva Hoelzle;Prestadores de Serviços na Área de Saúde;Suplente
Saúde;Jorge Luiz de Almeida Miranda;Prestadores de Serviços na Área de Saúde;Titular
Saúde;Marco Antônio Gomes Velloso de Carvalho;Prestadores de Serviços na Área de Saúde;Suplente
Saúde;Benedito Waldyr Pohl;Prestadores de Serviços na Área de Saúde;Titular
Saúde;Almir Quitete de Lima Filho;Prestadores de Serviços na Área de Saúde;Suplente
Saúde;Cléber Glória Silva;Prestadores de Serviços na Área de Saúde;Titular
Saúde;Paulo Roberto Pereira;Prestadores de Serviços na Área de Saúde;Suplente
Saúde;Eliete Maria Alves do Rosário ;Prestadores de Serviços na Área de Saúde;Titular
Saúde;Edmar Cruz Teixeira;Prestadores de Serviços na Área de Saúde;Suplente
Saúde;José Roberto Crespo de Souza;Representante dos Profi ssionais de Saúde;Titular
Saúde;Giovanni Lhamas Coelho;Representante dos Profi ssionais de Saúde;Suplente
Saúde;Valdir dos Santos Rodrigues Filho;Representante dos Profi ssionais de Saúde;Titular
Saúde;Ilsom Martins de Azevedo;Representante dos Profi ssionais de Saúde;Suplente
Saúde;Antônia Rodrigues Corrêa;Representante dos Profi ssionais de Saúde;Titular
Saúde;Amaro Michel Bissonho Calil;Representante dos Profi ssionais de Saúde;Suplente
Saúde;Abel da Silva Santos;Representante dos Profi ssionais de Saúde;Titular
Saúde;Elizabeth Neves Fernandes Miquilito;Representante dos Profi ssionais de Saúde;Suplente
Saúde;Vanda Terezinha Vasconcelos;Representante dos Profi ssionais de Saúde;Titular
Saúde;Ana Paula Galvão Baptista;Representante dos Profi ssionais de Saúde;Suplente
Saúde;Shirley Rangel Gomes;Formadores de Recursos Humanos na Área de Saúde;Titular
Saúde;Gutielle Carvalhal Botelho Bustilho Faria;Formadores de Recursos Humanos na Área de Saúde;Suplente
Saúde;Edilbert Pellegrini Nahn Júnior;Formadores de Recursos Humanos na Área de Saúde;Titular
Saúde;Luiz Clóvis Parente Soares;Formadores de Recursos Humanos na Área de Saúde;Suplente
Saúde;Helena Kiyomi Hokamura;Formadores de Recursos Humanos na Área de Saúde;Titular
Saúde;Leonardo Serafim da Silveira;Formadores de Recursos Humanos na Área de Saúde;Suplente
Saúde;Bárbara de Oliveira Figueiredo;Formadores de Recursos Humanos na Área de Saúde;Titular
Saúde;Paula Clark Barreto;Formadores de Recursos Humanos na Área de Saúde;Suplente
Saúde;Viviane Aparecida Siqueira Lopes;Formadores de Recursos Humanos na Área de Saúde;Titular
Saúde;Maria Clélia Pinto Coelho;Formadores de Recursos Humanos na Área de Saúde;Suplente
Saúde;Edgard Andrade Corrêa ;Segmento Usuários;Titular
Saúde;Francielli Moreira e Silva Acácio  ;Segmento Usuários;Suplente
Saúde;Vânia Cristina Coutinho de Souza;Segmento Usuários;Titular
Saúde;Luiz Sérgio de Carvalho;Segmento Usuários;Suplente
Saúde;Rosimara Andrade de Souza;Segmento Usuários;Titular
Saúde;Luciana Pereira Muniz;Segmento Usuários;Suplente
Saúde;Jair Araújo Júnior;Segmento Usuários;Titular
Saúde;Vera Lúcia Ribeiro Félix;Segmento Usuários;Suplente
Saúde;Estevão Souza de Azevedo;Segmento Usuários;Titular
Saúde;Wilson Paes Júnior;Segmento Usuários;Suplente
Saúde;Ricardo Luiz da Silva Araújo;Segmento Usuários;Titular
Saúde;Rossini Peralva Neto;Segmento Usuários;Suplente
Saúde;Renildo Santiago Goulart;Segmento Usuários;Titular
Saúde;João Acácio Filho;Segmento Usuários;Suplente
Saúde;Maria José serafim Jorge de Oliveira ;Segmento Usuários;Titular
Saúde;Rosemery Nascimento Silva;Segmento Usuários;Suplente
Saúde;Jordecy Rocha;Segmento Usuários;Titular
Saúde;Sérgio Luís Rocha Ritter;Segmento Usuários;Suplente
Saúde;João Paulo da Costa Cunha;Segmento Usuários;Titular
Saúde;Hernandes Passos Virginio;Segmento Usuários;Suplente
Saúde;Cinézio Sales Manhães Filho;Segmento Usuários;Titular
Saúde;Lucas Santos Siqueira Santana;Segmento Usuários;Suplente
Saúde;Ricardo Gonçalves de Carvalho;Segmento Usuários;Titular
Saúde;Jacques Douglas Pinto Lopes;Segmento Usuários;Suplente
Saúde;Ronald de Souza Pereira;Segmento Usuários;Titular
Saúde;Sérgio de Azevedo Almeida;Segmento Usuários;Suplente
Saúde;Sebastiana Abreu dos Santos da Silva;Segmento Usuários;Titular
Saúde;Alex Gomes da Motta;Segmento Usuários;Suplente
Saúde;Rodrigo Ferreira Pereira;Segmento Usuários;Titular
Saúde;Claudia de Jesus Barreto de Carvalho;Segmento Usuários;Suplente
Saúde;Gerson Ferreira Maciel ;Segmento Usuários;Titular
Saúde;Ester Fabiana Cordeiro Matias;Segmento Usuários;Suplente
Saúde;Izabela Appolinário de Souza;Segmento Usuários;Titular
Saúde;Ketelle dos Santos de Souza;Segmento Usuários;Suplente
Saúde;Aderbal da Paixão Gomes de Souza;Segmento Usuários;Titular
Saúde;Patrick Bruno da Rosa Manhães;Segmento Usuários;Suplente
Saúde;Gina Cláudia Pereira Chácar Rangel;Segmento Usuários;Titular
Saúde;João Manoel Rangel ;Segmento Usuários;Suplente
Saúde;Tiago Flávio Lisboa Telles Ferreira;Segmento Usuários;Titular
Saúde;Raul Ferrarez;Segmento Usuários;Suplente
Educação;Brand Arenari;;presidente
Educação;Rafael Pinheiro Caetano Damasceno;;vice-presidente
Educação;Jane de Azevedo Andrade;;Titular
Educação;Regina Auxiliadora Lannes Barreto Pereira;;Suplente
Educação;Joilza Rangel Abreu;;Titular
Educação;Álvaro César Gomes Faria;;Suplente
Educação;Rosana Corrêa Juncá;;Titular
Educação;Anizete Évio de Souza Viana;;Suplente
Educação;Maria Cristina Torres Lima;;Titular
Educação;Vinicius Soares Barbosa;;Suplente
Educação;Maria Rita Fundão Maciel;;Titular
Educação;Denise Cardoso Alves;;Suplente
Educação;Fábio Gustavo Viana Siqueira;;Titular
Educação;Vera Lúcia Ribeiro Félix;;Suplente
Educação;Tânia Silva Sá Viana;;Titular
Educação;Patrícia Cristosan;;Suplente
Educação;Odisseia Pinto de Carvalho;;Titular
Educação;Graciete Santana Nogueira Nunes;;Suplente
Educação;Patrícia de Paula Baía;;Titular
Educação;Patrícia Ferreira de Carvalho;;Suplente
Educação;Francisco Carlos Faria Bernardino;;Titular
Educação;Carina da Silva Gomes;;Suplente
Educação;Isabel Cristina Pinto Pinheiro;;Titular
Educação;Otávia Dias;;Suplente
Educação;Jefferson Manhães de Azevedo;;Titular
Educação;Saionara Rosa da Cruz;;Suplente
Educação;Heloisa Helena Queiroz Rocha Pacheco da Silva;;Titular
Educação;Francione de França Fonseca;;Suplente
Educação;Odete Pereira da Rocha;;Titular
