ID;EffSize;Efficiency;Constraint;Hierarchy;Indirects
Alimentação escolar;4,086666584;0,681111097;0,496876031;0,326830119;0,478008032
Assistência social;4,717171669;0,67388165;0,377693772;0,091546811;0,55002588
Combate à corrupção;4,40625;0,734375;0,298245132;0,089183383;0,284686178
Criança e adolescente;3,520833254;0,704166651;0,432948798;0,11539986;0,395573169
Cultura;6,522963047;0,815370381;0,273713112;0,099707611;0,400709778
Defesa do consumidor;2,611111164;0,652777791;0,474716872;0,131679386;0,31121555
Direitos da mulher;4,328205109;0,618315041;0,479604483;0,431652486;0,449437737
Direitos do idoso;7,276068211;0,80845201;0,276039451;0,137830451;0,456777543
Educação;7,663725376;0,851525068;0,298668206;0,291225672;0,379353493
Gestor do fundecam;9,04920578;0,822655141;0,220708281;0,115323871;0,459879756
Inclusão da pessoa com deficiencia;3,979166508;0,663194418;0,414693236;0,07833904;0,518200576
Meio ambiente e saneamento;5,976608276;0,747076035;0,338266909;0,144687623;0,511223555
Política agrícola e pecuária;6,30583334;0,788229167;0,361403108;0,223673373;0,492515147
Preservação do patrimônio histórico e cultural;6,041666508;0,755208313;0,296628445;0,151221052;0,423557401
Promoção da igualdade racial;8,203372955;0,745761156;0,328620911;0,323292166;0,538287699
Saúde;9,143434525;0,831221282;0,22915639;0,040957488;0,550662518
Segurança alimentar e nutricional;4,654444218;0,664920628;0,403625131;0,295278341;0,421892434
Turismo;2,527777672;0,631944418;0,463542342;0,097090334;0,312483162
fundeb;1,972916603;0,657638907;0,732265651;0,354841739;0,321323544
previcampos;2,597222328;0,649305582;0,376779705;0,007479619;0,224431828
