from;to;weight
Saúde;Gestor do fundecam;1
Saúde;Inclusão da pessoa com deficiencia;1
Saúde;Meio ambiente e saneamento;1
Saúde;Segurança alimentar e nutricional;1
Saúde;Educação;1
Saúde;Assistência social;1
Saúde;Direitos da mulher;1
Saúde;Promoção da igualdade racial;1
Saúde;Alimentação escolar;1
Saúde;"Conselho deliberativo do instituto de previdência dos servidores do
Município de campos dos goytacazes - previcampos";1
Saúde;Combate à corrupção;1
Educação;Preservação do patrimônio histórico e cultural;2
Educação;Direitos da mulher;1
Educação;Política agrícola e pecuária;1
Educação;Alimentação escolar;4
Educação;Gestor do fundecam;1
Educação;Direitos do idoso;1
Educação;Cultura;1
Educação;Acompanhamento e controle social do fundo de manutenção e desenvolvimento da educação básica e de valorização dos profissionais da educação;5
Assistência social;Criança e adolescente;2
Assistência social;Direitos do idoso;3
Assistência social;Segurança alimentar e nutricional;2
Assistência social;Direitos da mulher;1
Assistência social;Promoção da igualdade racial;1
Assistência social;Inclusão da pessoa com deficiencia;1
Segurança alimentar e nutricional;Promoção da igualdade racial;9
Segurança alimentar e nutricional;Política agrícola e pecuária;6
Segurança alimentar e nutricional;Gestor do fundecam;1
Segurança alimentar e nutricional;Meio ambiente e saneamento;4
Segurança alimentar e nutricional;Direitos da mulher;2
Direitos da mulher;Promoção da igualdade racial;6
Direitos da mulher;Inclusão da pessoa com deficiencia;1
Direitos da mulher;Cultura;1
Inclusão da pessoa com deficiencia;Criança e adolescente;2
Inclusão da pessoa com deficiencia;Promoção da igualdade racial;1
Inclusão da pessoa com deficiencia;Direitos do idoso;2
Direitos do idoso;Cultura;1
Direitos do idoso;Preservação do patrimônio histórico e cultural;1
Direitos do idoso;Criança e adolescente;2
Direitos do idoso;Gestor do fundecam;1
Direitos do idoso;Turismo;1
Direitos do idoso;Promoção da igualdade racial;1
Criança e adolescente;Gestor do fundecam;1
Criança e adolescente;Promoção da igualdade racial;1
Cultura;Preservação do patrimônio histórico e cultural;3
Cultura;Meio ambiente e saneamento;2
Cultura;Turismo;2
Cultura;Promoção da igualdade racial;3
Cultura;Combate à corrupção;2
Alimentação escolar;Gestor do fundecam;1
Alimentação escolar;Acompanhamento e controle social do fundo de manutenção e desenvolvimento da educação básica e de valorização dos profissionais da educação;2
Alimentação escolar;Política agrícola e pecuária;1
Alimentação escolar;Combate à corrupção;1
Meio ambiente e saneamento;Política agrícola e pecuária;4
Meio ambiente e saneamento;Promoção da igualdade racial;2
Meio ambiente e saneamento;Turismo;2
Meio ambiente e saneamento;Preservação do patrimônio histórico e cultural;2
Meio ambiente e saneamento;Defesa do consumidor;2
Política agrícola e pecuária;Gestor do fundecam;3
Política agrícola e pecuária;Promoção da igualdade racial;2
Política agrícola e pecuária;Acompanhamento e controle social do fundo de manutenção e desenvolvimento da educação básica e de valorização dos profissionais da educação;1
Política agrícola e pecuária;Defesa do consumidor;2
Promoção da igualdade racial;"Conselho deliberativo do instituto de previdência dos servidores do
Município de campos dos goytacazes - previcampos";1
Preservação do patrimônio histórico e cultural;Turismo;1
Preservação do patrimônio histórico e cultural;Combate à corrupção;1
Preservação do patrimônio histórico e cultural;Gestor do fundecam;1
Preservação do patrimônio histórico e cultural;Defesa do consumidor;1
Combate à corrupção;Gestor do fundecam;2
Combate à corrupção;"Conselho deliberativo do instituto de previdência dos servidores do
Município de campos dos goytacazes - previcampos";1
Defesa do consumidor;Gestor do fundecam;1
"Conselho deliberativo do instituto de previdência dos servidores do
Município de campos dos goytacazes - previcampos";Gestor do fundecam;1
